goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,27.930419580419574,25.682741008991016,29.94772477522479
approaching,2.A,Microbial Vaccines,10.751562326562325,8.950132853257852,12.554044566544562
approaching,2.B,Plant Gene Extracts,3.789260739260739,2.4997606560106567,5.335088661338659
approaching,2.C,Anim. Gene Extracts,2.657117882117882,1.9075351731601733,3.5388792457542437
approaching,2.D,Human Gene Editing,17.826562326562325,14.611514527139525,21.33080447330446
approaching,3.A,Req. for Experiment,1.049206349206349,0.6380952380952382,1.5269841269841269
approaching,3.B,Req. for H.G.E,1.1416666666666666,0.7164583333333338,1.6168749999999992
approaching,3.C,Req. for Assistance,4.73562826062826,3.4669155844155846,6.102778887778889
approaching,3.D,Chat w/ other RSRs.,6.162734487734486,4.749176587301587,7.616498015873016
approaching,4.A,Meth. Analysis Low,3.204761904761905,2.049821428571429,4.509702380952381
approaching,4.B,Meth. Analysis Med.,17.301537351537352,14.988908730158732,19.512586233211227
approaching,4.C,Meth. Analysis High,3.449542124542125,2.312964743589744,4.670821886446886
avoidance,1.A,Data Collection,22.3547181867582,21.217169552000588,23.571618671331642
avoidance,2.A,Microbial Vaccines,14.916064650697722,13.65724410189655,16.283426322741406
avoidance,2.B,Plant Gene Extracts,4.490395380096764,3.6541953975208674,5.3789350866902
avoidance,2.C,Anim. Gene Extracts,4.410880950292329,3.671714761657722,5.185665806125964
avoidance,2.D,Human Gene Editing,9.31616367121159,7.264691611348755,11.405134940641576
avoidance,3.A,Req. for Experiment,1.8752309730683883,1.2613979208071182,2.5385080024052136
avoidance,3.B,Req. for H.G.E,5.138325079899042,4.192570435863336,6.056480055334474
avoidance,3.C,Req. for Assistance,9.586508761520655,8.20297178742191,10.949252051717103
avoidance,3.D,Chat w/ other RSRs.,6.538138109835326,5.2776556995353,7.8553246019147664
avoidance,4.A,Meth. Analysis Low,2.8248479410769556,2.018636891161644,3.743611449056993
avoidance,4.B,Meth. Analysis Med.,11.33384387927062,9.83315895587346,12.874433476333524
avoidance,4.C,Meth. Analysis High,7.214882416272405,5.831693208737978,8.680794412990474
